stock_id,date,inst_net,trust_net,foreign_net
069801,2026-07-20,776000.0,0.0,0.0
066988,2026-07-20,771000.0,0.0,0.0
3033,2026-07-20,768727.0,15311.0,1207890.0
073102,2026-07-20,765000.0,0.0,0.0
074199,2026-07-20,751000.0,0.0,0.0
066467,2026-07-20,748000.0,0.0,0.0
4977,2026-07-20,745950.0,-10000.0,764462.0
2316,2026-07-20,745705.0,156000.0,613517.0
071512,2026-07-20,744000.0,0.0,0.0
2302,2026-07-20,743369.0,54000.0,740364.0
4960,2026-07-20,733370.0,0.0,699537.0
070912,2026-07-20,730000.0,0.0,0.0
074402,2026-07-20,730000.0,0.0,0.0
072938,2026-07-20,729000.0,0.0,0.0
069382,2026-07-20,726000.0,0.0,0.0
2374,2026-07-20,724386.0,-1000.0,894347.0
059638,2026-07-20,722000.0,0.0,0.0
073684,2026-07-20,720000.0,0.0,0.0
068091,2026-07-20,715000.0,0.0,0.0
070285,2026-07-20,712000.0,0.0,0.0
062647,2026-07-20,707000.0,0.0,0.0
073204,2026-07-20,707000.0,0.0,0.0
059943,2026-07-20,705000.0,0.0,0.0
070000,2026-07-20,700000.0,0.0,0.0
066901,2026-07-20,699000.0,0.0,0.0
071987,2026-07-20,699000.0,0.0,0.0
073920,2026-07-20,697000.0,0.0,0.0
064689,2026-07-20,697000.0,0.0,0.0
067789,2026-07-20,694000.0,0.0,0.0
074878,2026-07-20,693000.0,0.0,0.0
074398,2026-07-20,691000.0,0.0,0.0
068073,2026-07-20,689000.0,0.0,0.0
4915,2026-07-20,684107.0,-326525.0,980900.0
00639,2026-07-20,682954.0,0.0,-47000.0
8110,2026-07-20,680383.0,0.0,746695.0
066780,2026-07-20,680000.0,0.0,-62000.0
073919,2026-07-20,679000.0,0.0,0.0
061432,2026-07-20,677000.0,0.0,0.0
058277,2026-07-20,675000.0,0.0,0.0
065219,2026-07-20,670000.0,0.0,0.0
6285,2026-07-20,669973.0,8000.0,380351.0
5243,2026-07-20,668030.0,100000.0,514059.0
1809,2026-07-20,666192.0,0.0,676850.0
3059,2026-07-20,665252.0,0.0,772940.0
072465,2026-07-20,660000.0,0.0,0.0
055145,2026-07-20,659000.0,0.0,0.0
2474,2026-07-20,658429.0,2234000.0,-1619665.0
070942,2026-07-20,658000.0,0.0,0.0
1727,2026-07-20,656060.0,0.0,651347.0
041613,2026-07-20,655000.0,0.0,0.0
046714,2026-07-20,650000.0,0.0,0.0
00951,2026-07-20,640256.0,0.0,1042100.0
072236,2026-07-20,638000.0,0.0,0.0
00898,2026-07-20,636812.0,0.0,687000.0
1319,2026-07-20,636246.0,-263565.0,941432.0
059068,2026-07-20,636000.0,0.0,0.0
066900,2026-07-20,634000.0,0.0,0.0
2399,2026-07-20,631893.0,-20000.0,657946.0
059070,2026-07-20,631000.0,0.0,0.0
4564,2026-07-20,630802.0,0.0,664920.0
063707,2026-07-20,630000.0,0.0,0.0
060676,2026-07-20,629000.0,0.0,0.0
067225,2026-07-20,628000.0,0.0,0.0
068919,2026-07-20,627000.0,0.0,0.0
070495,2026-07-20,626000.0,0.0,0.0
2301,2026-07-20,624742.0,102128.0,-364031.0
071790,2026-07-20,624000.0,0.0,0.0
2355,2026-07-20,623467.0,-44000.0,767123.0
075802,2026-07-20,619000.0,0.0,0.0
069687,2026-07-20,618000.0,0.0,0.0
060854,2026-07-20,617000.0,0.0,0.0
056892,2026-07-20,614000.0,0.0,0.0
063755,2026-07-20,611000.0,0.0,0.0
059416,2026-07-20,611000.0,0.0,0.0
069614,2026-07-20,610000.0,0.0,0.0
069730,2026-07-20,609000.0,0.0,0.0
069872,2026-07-20,609000.0,0.0,0.0
9933,2026-07-20,608306.0,8400.0,494446.0
069274,2026-07-20,607000.0,0.0,0.0
071892,2026-07-20,606000.0,0.0,0.0
061960,2026-07-20,604000.0,0.0,0.0
072263,2026-07-20,603000.0,0.0,0.0
074491,2026-07-20,603000.0,0.0,0.0
4739,2026-07-20,601753.0,0.0,627310.0
058794,2026-07-20,600000.0,0.0,0.0
065476,2026-07-20,600000.0,0.0,0.0
065711,2026-07-20,598000.0,0.0,0.0
1708,2026-07-20,595984.0,135000.0,475851.0
073384,2026-07-20,594000.0,0.0,0.0
074469,2026-07-20,594000.0,0.0,0.0
3013,2026-07-20,593445.0,0.0,650058.0
065826,2026-07-20,592000.0,0.0,0.0
6449,2026-07-20,591534.0,0.0,594104.0
068735,2026-07-20,591000.0,0.0,0.0
6550,2026-07-20,590460.0,0.0,577460.0
061956,2026-07-20,590000.0,0.0,0.0
009817,2026-07-20,585383.0,0.0,774000.0
070110,2026-07-20,585000.0,0.0,0.0
2342,2026-07-20,583968.0,0.0,602340.0
064824,2026-07-20,583000.0,0.0,0.0
072937,2026-07-20,582000.0,0.0,0.0
3035,2026-07-20,581546.0,0.0,641025.0
063218,2026-07-20,580000.0,0.0,0.0
070749,2026-07-20,578000.0,0.0,0.0
3591,2026-07-20,576737.0,0.0,73332.0
068569,2026-07-20,576000.0,0.0,0.0
073704,2026-07-20,576000.0,0.0,0.0
067145,2026-07-20,569000.0,0.0,0.0
074406,2026-07-20,567000.0,0.0,0.0
