stock_id,equity,year,season
2417,3770389.0,2025,2
2419,5833071.0,2025,2
2420,3585737.0,2025,2
2421,7274502.0,2025,2
2423,2637520.0,2025,2
2424,319238.0,2025,2
2425,2614447.0,2025,2
2426,3776670.0,2025,2
2427,3124489.0,2025,2
2428,9731858.0,2025,2
2429,847324.0,2025,2
2430,4345021.0,2025,2
2431,1234577.0,2025,2
2432,1097215.0,2025,2
2433,3756704.0,2025,2
2434,461236.0,2025,2
2436,3632942.0,2025,2
2438,670477.0,2025,2
2439,16566402.0,2025,2
2440,1128218.0,2025,2
2441,21926050.0,2025,2
2442,5545859.0,2025,2
2444,854389.0,2025,2
2449,43941725.0,2025,2
2450,6188509.0,2025,2
2451,17959393.0,2025,2
2453,2068987.0,2025,2
2454,384527672.0,2025,2
2455,2832433.0,2025,2
2457,8637350.0,2025,2
2458,9779969.0,2025,2
2459,5290042.0,2025,2
2460,1570687.0,2025,2
2461,3426094.0,2025,2
2462,2801446.0,2025,2
2464,4855958.0,2025,2
2465,598291.0,2025,2
2466,1602495.0,2025,2
2467,4493922.0,2025,2
2468,1221336.0,2025,2
2471,791392.0,2025,2
2472,11277865.0,2025,2
2474,137888022.0,2025,2
2476,7951737.0,2025,2
2477,4045629.0,2025,2
2478,6618117.0,2025,2
2480,3073399.0,2025,2
2481,14414571.0,2025,2
2482,1098370.0,2025,2
2483,2474865.0,2025,2
2484,3609223.0,2025,2
2485,5081858.0,2025,2
2486,5225924.0,2025,2
2488,2502000.0,2025,2
2489,13128837.0,2025,2
2491,1129359.0,2025,2
2492,52815108.0,2025,2
2493,2890019.0,2025,2
2495,4194729.0,2025,2
2496,845591.0,2025,2
2497,2289452.0,2025,2
2498,22415500.0,2025,2
2501,30490070.0,2025,2
2504,25858981.0,2025,2
2505,10510643.0,2025,2
2506,9333969.0,2025,2
2509,4082222.0,2025,2
2511,25304346.0,2025,2
2514,20500348.0,2025,2
2515,21894743.0,2025,2
2516,1828198.0,2025,2
2520,27172948.0,2025,2
2524,20955526.0,2025,2
2527,12450030.0,2025,2
2528,7103161.0,2025,2
2530,11170612.0,2025,2
2534,14881712.0,2025,2
2535,9432027.0,2025,2
2536,12932827.0,2025,2
2537,4436219.0,2025,2
2538,5443865.0,2025,2
2539,15708148.0,2025,2
2540,16449548.0,2025,2
2542,58623934.0,2025,2
2543,9922933.0,2025,2
2545,15349842.0,2025,2
2546,5393506.0,2025,2
2547,15227265.0,2025,2
2548,19405901.0,2025,2
2597,8733718.0,2025,2
2601,9718841.0,2025,2
2603,520089437.0,2025,2
2605,15310428.0,2025,2
2606,32228561.0,2025,2
2607,34331985.0,2025,2
2608,12632494.0,2025,2
2609,310977236.0,2025,2
2610,96921105.0,2025,2
2611,2724454.0,2025,2
2612,12209193.0,2025,2
2613,3198125.0,2025,2
2614,5179494.0,2025,2
2615,238928144.0,2025,2
2616,3327964.0,2025,2
2617,16570136.0,2025,2
2618,135256275.0,2025,2
2630,3436741.0,2025,2
2633,69654245.0,2025,2
2634,16721505.0,2025,2
2636,9155796.0,2025,2
2637,42974097.0,2025,2
2642,1876627.0,2025,2
2645,12360306.0,2025,2
2646,33696968.0,2025,2
2701,7957882.0,2025,2
2702,3027009.0,2025,2
2704,26039507.0,2025,2
2705,4794827.0,2025,2
2706,9555477.0,2025,2
2707,3480714.0,2025,2
2712,1031129.0,2025,2
2722,2678675.0,2025,2
2723,10320267.0,2025,2
2727,4275967.0,2025,2
2731,4424678.0,2025,2
2739,1511205.0,2025,2
2748,2819906.0,2025,2
2753,3713589.0,2025,2
2762,2800041.0,2025,2
2901,868214.0,2025,2
2903,35471258.0,2025,2
2904,1234167.0,2025,2
2906,6371385.0,2025,2
2908,7662409.0,2025,2
2910,2625817.0,2025,2
2911,409043.0,2025,2
2912,44927428.0,2025,2
2913,12474285.0,2025,2
2915,86896707.0,2025,2
2923,46360493.0,2025,2
2929,2642553.0,2025,2
2939,600142.0,2025,2
2945,1990328.0,2025,2
3002,1264128.0,2025,2
3003,6259195.0,2025,2
3004,2691644.0,2025,2
3005,23765565.0,2025,2
3006,9154107.0,2025,2
3008,179499850.0,2025,2
3010,22153592.0,2025,2
3011,1456003.0,2025,2
3013,4447851.0,2025,2
3014,6151428.0,2025,2
3015,13356752.0,2025,2
3016,4873135.0,2025,2
3017,34071746.0,2025,2
3018,653830.0,2025,2
3019,15067758.0,2025,2
3021,1477288.0,2025,2
3022,10166987.0,2025,2
3023,13864550.0,2025,2
3024,2871109.0,2025,2
3025,687695.0,2025,2
3026,9722581.0,2025,2
3027,2413313.0,2025,2
3028,5517415.0,2025,2
3029,6346206.0,2025,2
3030,8101248.0,2025,2
3031,2829770.0,2025,2
3032,3207369.0,2025,2
3033,9536051.0,2025,2
3034,59641644.0,2025,2
3035,12671529.0,2025,2
3036,79823292.0,2025,2
3037,93828488.0,2025,2
3038,2471380.0,2025,2
3040,1304022.0,2025,2
3041,2004739.0,2025,2
3042,14668745.0,2025,2
3043,704803.0,2025,2
3044,44726722.0,2025,2
3045,86569303.0,2025,2
3046,1483712.0,2025,2
3047,3318100.0,2025,2
3048,4055552.0,2025,2
3049,7562598.0,2025,2
3050,2913204.0,2025,2
3051,2319191.0,2025,2
3052,3514586.0,2025,2
3054,743295.0,2025,2
3055,1783158.0,2025,2
3056,8775177.0,2025,2
3057,600679.0,2025,2
3058,1812312.0,2025,2
3059,9577299.0,2025,2
3060,2478125.0,2025,2
3062,4536215.0,2025,2
3090,6392384.0,2025,2
3092,1590196.0,2025,2
3094,996000.0,2025,2
3130,1469712.0,2025,2
3135,1361862.0,2025,2
3138,1913808.0,2025,2
3149,2844869.0,2025,2
3150,663120.0,2025,2
3164,1351183.0,2025,2
3167,2715947.0,2025,2
3168,2483137.0,2025,2
3189,39597183.0,2025,2
3209,4605620.0,2025,2
