stock_id,ocf,year,season
3057,-52339.0,2025,2
3058,464764.0,2025,2
3059,583125.0,2025,2
3060,187254.0,2025,2
3062,-211176.0,2025,2
3090,294201.0,2025,2
3092,-175486.0,2025,2
3094,5538.0,2025,2
3130,358531.0,2025,2
3135,-104725.0,2025,2
3138,-8152.0,2025,2
3149,-233560.0,2025,2
3150,41536.0,2025,2
3164,28897.0,2025,2
3167,-35952.0,2025,2
3168,209926.0,2025,2
3189,3338386.0,2025,2
3209,4369696.0,2025,2
3229,15564.0,2025,2
3231,-138098325.0,2025,2
3257,258379.0,2025,2
3266,-944665.0,2025,2
3296,301659.0,2025,2
3305,-325670.0,2025,2
3308,-88737.0,2025,2
3311,114347.0,2025,2
3312,-499577.0,2025,2
3321,-62253.0,2025,2
3338,-95912.0,2025,2
3346,490214.0,2025,2
3356,56792.0,2025,2
3376,886384.0,2025,2
3380,24377.0,2025,2
3406,2121578.0,2025,2
3413,413530.0,2025,2
3416,124340.0,2025,2
3419,-160923.0,2025,2
3432,-62044.0,2025,2
3437,-83595.0,2025,2
3443,-248983.0,2025,2
3447,70602.0,2025,2
3450,1019765.0,2025,2
3481,7049410.0,2025,2
3494,-121521.0,2025,2
3501,698858.0,2025,2
3504,193440.0,2025,2
3515,2304220.0,2025,2
3518,-176611.0,2025,2
3528,-515576.0,2025,2
3530,187359.0,2025,2
3532,-174296.0,2025,2
3533,5729218.0,2025,2
3535,-44582.0,2025,2
3543,-54085.0,2025,2
3545,-748194.0,2025,2
3550,207590.0,2025,2
3557,862375.0,2025,2
3563,581644.0,2025,2
3576,-471433.0,2025,2
3583,-271655.0,2025,2
3588,152590.0,2025,2
3591,33806.0,2025,2
3592,-78110.0,2025,2
3593,92278.0,2025,2
3596,2718474.0,2025,2
3605,622489.0,2025,2
3607,59326.0,2025,2
3617,495394.0,2025,2
3622,-8641.0,2025,2
3645,237182.0,2025,2
3652,-30754.0,2025,2
3653,2379950.0,2025,2
3661,11770666.0,2025,2
3665,2052212.0,2025,2
3669,-33180.0,2025,2
3673,850444.0,2025,2
3679,233606.0,2025,2
3686,-14272.0,2025,2
3694,10503.0,2025,2
3701,-19611.0,2025,2
3702,18397568.0,2025,2
3703,-2562382.0,2025,2
3704,238377.0,2025,2
3705,669976.0,2025,2
3706,-9665971.0,2025,2
3708,635720.0,2025,2
3711,56818177.0,2025,2
3712,-9097159.0,2025,2
3714,996523.0,2025,2
3715,1181094.0,2025,2
3716,345029.0,2025,2
4104,-1350644.0,2025,2
4106,-9801.0,2025,2
4108,-44971.0,2025,2
4119,190076.0,2025,2
4133,-20080.0,2025,2
4137,260377.0,2025,2
4142,-477317.0,2025,2
4148,-213878.0,2025,2
4155,19283.0,2025,2
4164,252219.0,2025,2
4169,-2281.0,2025,2
4178,-31650.0,2025,2
4190,194885.0,2025,2
4195,-74375.0,2025,2
4306,-743749.0,2025,2
4414,1046169.0,2025,2
4426,-237058.0,2025,2
4438,-3647322.0,2025,2
4439,166433.0,2025,2
4440,80634.0,2025,2
4441,85398.0,2025,2
4526,-191341.0,2025,2
4532,-953340.0,2025,2
4536,1269094.0,2025,2
4540,-116763.0,2025,2
4545,-13752.0,2025,2
4551,528913.0,2025,2
4552,-25992.0,2025,2
4555,111202.0,2025,2
4557,443056.0,2025,2
4560,135608.0,2025,2
4562,17853.0,2025,2
4564,71174.0,2025,2
4566,222439.0,2025,2
4569,103712.0,2025,2
4571,228351.0,2025,2
4572,100666.0,2025,2
4576,104816.0,2025,2
4581,77677.0,2025,2
4582,408587.0,2025,2
4583,589652.0,2025,2
4585,86112.0,2025,2
4588,177095.0,2025,2
4590,520909.0,2025,2
4720,101500.0,2025,2
4722,79994.0,2025,2
4736,107504.0,2025,2
4737,285904.0,2025,2
4739,-504668.0,2025,2
4746,740595.0,2025,2
4755,284653.0,2025,2
4763,2948542.0,2025,2
4764,92328.0,2025,2
4766,1369126.0,2025,2
4770,867960.0,2025,2
4771,571706.0,2025,2
4807,84445.0,2025,2
4904,16314898.0,2025,2
4906,1229492.0,2025,2
4912,402265.0,2025,2
4915,1382473.0,2025,2
4916,104967.0,2025,2
4919,-696214.0,2025,2
4927,224993.0,2025,2
4930,-28226.0,2025,2
4934,-113473.0,2025,2
4935,471879.0,2025,2
4938,3270160.0,2025,2
4942,144869.0,2025,2
4943,-64277.0,2025,2
4949,178092.0,2025,2
4952,21164.0,2025,2
4956,33894.0,2025,2
4958,18253914.0,2025,2
4960,-558318.0,2025,2
4961,1678036.0,2025,2
4967,-1630978.0,2025,2
4968,316761.0,2025,2
4976,-54270.0,2025,2
4977,-316349.0,2025,2
4989,-135672.0,2025,2
4994,-267592.0,2025,2
4999,-63319.0,2025,2
5007,479186.0,2025,2
5203,-474401.0,2025,2
5215,266875.0,2025,2
5222,132757.0,2025,2
5225,421599.0,2025,2
5234,319059.0,2025,2
5236,121909.0,2025,2
5243,974369.0,2025,2
5244,30192.0,2025,2
5258,289314.0,2025,2
5269,603327.0,2025,2
5283,-286313.0,2025,2
5284,62446.0,2025,2
5285,253361.0,2025,2
5288,666527.0,2025,2
5292,-50182.0,2025,2
5306,741095.0,2025,2
5388,3291319.0,2025,2
5434,1357663.0,2025,2
5469,4119963.0,2025,2
5471,23304.0,2025,2
5484,-42126.0,2025,2
5515,593563.0,2025,2
5519,-498742.0,2025,2
5521,377399.0,2025,2
5522,-6093150.0,2025,2
5525,-1657618.0,2025,2
5531,-709738.0,2025,2
5533,-132111.0,2025,2
5534,-2136347.0,2025,2
5538,1110170.0,2025,2
5546,223806.0,2025,2
5607,761935.0,2025,2
5608,440633.0,2025,2
5706,115683.0,2025,2
5871,8865221.0,2025,2
5906,44696.0,2025,2
5907,-26818.0,2025,2
6108,-87742.0,2025,2
6112,171633.0,2025,2
6115,133601.0,2025,2
6116,-454323.0,2025,2
6117,140590.0,2025,2
6120,726157.0,2025,2
6128,-131143.0,2025,2
6133,68073.0,2025,2
6136,55827.0,2025,2
6139,3558109.0,2025,2
6141,483131.0,2025,2
6142,-63674.0,2025,2
6152,-16832.0,2025,2
6153,-607416.0,2025,2
6155,-48857.0,2025,2
6164,-95732.0,2025,2
6165,15729.0,2025,2
6166,-214734.0,2025,2
6168,-124362.0,2025,2
6176,4000326.0,2025,2
6177,-3702432.0,2025,2
6183,186704.0,2025,2
6184,364592.0,2025,2
6189,246265.0,2025,2
6191,2760956.0,2025,2
6192,26404.0,2025,2
6196,-617723.0,2025,2
6197,162325.0,2025,2
6201,256708.0,2025,2
6202,215965.0,2025,2
6205,137093.0,2025,2
6206,317149.0,2025,2
6209,164083.0,2025,2
6213,1169731.0,2025,2
6214,-2677423.0,2025,2
6215,-89546.0,2025,2
6216,98558.0,2025,2
6224,256763.0,2025,2
6225,-1127.0,2025,2
6226,21669.0,2025,2
6230,399505.0,2025,2
6235,395109.0,2025,2
6239,9888753.0,2025,2
6243,87184.0,2025,2
6257,2976087.0,2025,2
6269,308720.0,2025,2
6271,956462.0,2025,2
6272,122232.0,2025,2
6277,204085.0,2025,2
6278,1291436.0,2025,2
6281,-62856.0,2025,2
6282,1282533.0,2025,2
6283,156656.0,2025,2
6285,7987471.0,2025,2
6405,-9311.0,2025,2
6409,3363149.0,2025,2
6412,115894.0,2025,2
6414,710756.0,2025,2
