stock_id,date,margin_bal,short_bal
1103,2026-07-23,4118.0,0.0
1104,2026-07-23,1680.0,0.0
1108,2026-07-23,435.0,44.0
1109,2026-07-23,275.0,1.0
1110,2026-07-23,2729.0,0.0
1201,2026-07-23,1496.0,0.0
1203,2026-07-23,2.0,0.0
1210,2026-07-23,628.0,0.0
1213,2026-07-23,0.0,0.0
1215,2026-07-23,429.0,1.0
1216,2026-07-23,446.0,4.0
1217,2026-07-23,947.0,2.0
1218,2026-07-23,1506.0,118.0
1219,2026-07-23,510.0,105.0
1220,2026-07-23,862.0,0.0
1225,2026-07-23,6934.0,10.0
1227,2026-07-23,932.0,2.0
1229,2026-07-23,3496.0,17.0
1231,2026-07-23,247.0,0.0
1232,2026-07-23,241.0,0.0
1233,2026-07-23,19.0,0.0
1234,2026-07-23,16.0,0.0
1235,2026-07-23,1163.0,0.0
1236,2026-07-23,182.0,0.0
1256,2026-07-23,326.0,7.0
1301,2026-07-23,26538.0,988.0
1303,2026-07-23,48225.0,1031.0
1304,2026-07-23,11752.0,77.0
1305,2026-07-23,6928.0,0.0
1307,2026-07-23,1330.0,1.0
1308,2026-07-23,6946.0,5.0
1309,2026-07-23,8708.0,33.0
1310,2026-07-23,14087.0,36.0
1312,2026-07-23,32835.0,260.0
1313,2026-07-23,11761.0,151.0
1314,2026-07-23,79820.0,399.0
1315,2026-07-23,18.0,0.0
1316,2026-07-23,10924.0,28.0
1319,2026-07-23,7045.0,16.0
1321,2026-07-23,7199.0,0.0
1323,2026-07-23,83.0,0.0
1324,2026-07-23,1279.0,0.0
1325,2026-07-23,2366.0,105.0
1326,2026-07-23,37277.0,1068.0
1337,2026-07-23,21396.0,0.0
1338,2026-07-23,3912.0,0.0
1339,2026-07-23,885.0,0.0
1340,2026-07-23,993.0,0.0
1342,2026-07-23,625.0,0.0
1402,2026-07-23,7130.0,75.0
1409,2026-07-23,24699.0,138.0
1410,2026-07-23,307.0,0.0
1413,2026-07-23,0.0,0.0
1414,2026-07-23,1181.0,0.0
1416,2026-07-23,3339.0,0.0
1417,2026-07-23,1935.0,0.0
1418,2026-07-23,788.0,0.0
1419,2026-07-23,1252.0,0.0
1423,2026-07-23,87.0,0.0
1432,2026-07-23,155.0,38.0
1434,2026-07-23,9218.0,50.0
1435,2026-07-23,0.0,0.0
1436,2026-07-23,995.0,33.0
1437,2026-07-23,2394.0,0.0
1438,2026-07-23,135.0,0.0
1439,2026-07-23,1044.0,0.0
1440,2026-07-23,5464.0,3.0
1441,2026-07-23,0.0,0.0
1442,2026-07-23,2860.0,8.0
1443,2026-07-23,31.0,0.0
1444,2026-07-23,569.0,0.0
1445,2026-07-23,1370.0,11.0
1446,2026-07-23,1638.0,0.0
1447,2026-07-23,811.0,0.0
1449,2026-07-23,3139.0,0.0
1451,2026-07-23,761.0,0.0
1452,2026-07-23,109.0,0.0
1453,2026-07-23,1044.0,1.0
1454,2026-07-23,2168.0,0.0
1455,2026-07-23,3196.0,0.0
1456,2026-07-23,809.0,0.0
1457,2026-07-23,709.0,1.0
1459,2026-07-23,437.0,0.0
1460,2026-07-23,0.0,0.0
1463,2026-07-23,459.0,0.0
1464,2026-07-23,2133.0,0.0
1465,2026-07-23,3295.0,0.0
1466,2026-07-23,2812.0,24.0
1467,2026-07-23,6701.0,16.0
1468,2026-07-23,0.0,0.0
1470,2026-07-23,6.0,0.0
1471,2026-07-23,0.0,0.0
1472,2026-07-23,3893.0,2.0
1473,2026-07-23,844.0,0.0
1474,2026-07-23,3381.0,0.0
1475,2026-07-23,459.0,0.0
1476,2026-07-23,847.0,15.0
1477,2026-07-23,1603.0,3.0
1503,2026-07-23,3017.0,23.0
1504,2026-07-23,30598.0,103.0
1506,2026-07-23,0.0,0.0
1512,2026-07-23,0.0,0.0
1513,2026-07-23,7919.0,19.0
1514,2026-07-23,6679.0,32.0
1515,2026-07-23,3236.0,366.0
1516,2026-07-23,2.0,0.0
1517,2026-07-23,2017.0,3.0
1519,2026-07-23,3278.0,10.0
1521,2026-07-23,447.0,0.0
1522,2026-07-23,4401.0,0.0
1524,2026-07-23,4234.0,15.0
1525,2026-07-23,232.0,0.0
1526,2026-07-23,759.0,20.0
1527,2026-07-23,561.0,0.0
1528,2026-07-23,6827.0,65.0
1529,2026-07-23,2994.0,480.0
1530,2026-07-23,291.0,0.0
1531,2026-07-23,1689.0,1.0
1532,2026-07-23,2770.0,0.0
1533,2026-07-23,464.0,9.0
1535,2026-07-23,63.0,0.0
1536,2026-07-23,8395.0,180.0
1537,2026-07-23,57.0,0.0
1538,2026-07-23,0.0,0.0
1539,2026-07-23,1371.0,0.0
1540,2026-07-23,1645.0,0.0
1541,2026-07-23,111.0,0.0
1558,2026-07-23,253.0,0.0
1560,2026-07-23,1554.0,41.0
1563,2026-07-23,7650.0,2.0
1568,2026-07-23,2426.0,0.0
1582,2026-07-23,4212.0,9.0
1583,2026-07-23,66.0,0.0
1587,2026-07-23,1931.0,23.0
1589,2026-07-23,793.0,0.0
1590,2026-07-23,139.0,0.0
1597,2026-07-23,2996.0,27.0
1598,2026-07-23,2091.0,0.0
1603,2026-07-23,2116.0,10.0
1604,2026-07-23,228.0,0.0
1605,2026-07-23,51835.0,601.0
1608,2026-07-23,8454.0,0.0
1609,2026-07-23,13293.0,27.0
1611,2026-07-23,3299.0,4.0
1612,2026-07-23,1891.0,55.0
1614,2026-07-23,343.0,0.0
1615,2026-07-23,157.0,0.0
1616,2026-07-23,3229.0,1.0
1617,2026-07-23,1933.0,0.0
1618,2026-07-23,3546.0,35.0
1626,2026-07-23,1660.0,0.0
1702,2026-07-23,301.0,0.0
1707,2026-07-23,350.0,20.0
1708,2026-07-23,7618.0,76.0
1709,2026-07-23,17249.0,19.0
1710,2026-07-23,13704.0,509.0
1711,2026-07-23,18499.0,80.0
1712,2026-07-23,477.0,0.0
1713,2026-07-23,2947.0,1.0
1714,2026-07-23,16744.0,96.0
1717,2026-07-23,20531.0,298.0
1718,2026-07-23,18244.0,341.0
1720,2026-07-23,325.0,0.0
1721,2026-07-23,126.0,0.0
1722,2026-07-23,2708.0,3.0
1723,2026-07-23,686.0,1.0
1725,2026-07-23,288.0,0.0
1726,2026-07-23,25.0,0.0
1727,2026-07-23,7709.0,131.0
1730,2026-07-23,4.0,0.0
1731,2026-07-23,318.0,0.0
1732,2026-07-23,775.0,3.0
1733,2026-07-23,2620.0,1.0
1734,2026-07-23,384.0,0.0
1735,2026-07-23,759.0,0.0
1736,2026-07-23,1857.0,2.0
1737,2026-07-23,22.0,0.0
1752,2026-07-23,329.0,0.0
1760,2026-07-23,1066.0,0.0
1762,2026-07-23,733.0,2.0
1773,2026-07-23,1138.0,1.0
1776,2026-07-23,881.0,1.0
1783,2026-07-23,572.0,0.0
1786,2026-07-23,5039.0,11.0
1789,2026-07-23,3252.0,0.0
1795,2026-07-23,9030.0,38.0
1802,2026-07-23,46512.0,697.0
1805,2026-07-23,1426.0,0.0
1806,2026-07-23,2944.0,0.0
1808,2026-07-23,5764.0,0.0
1809,2026-07-23,6162.0,3.0
1810,2026-07-23,24591.0,3635.0
1817,2026-07-23,17.0,0.0
1903,2026-07-23,2506.0,5.0
1904,2026-07-23,4600.0,20.0
1905,2026-07-23,12726.0,338.0
1906,2026-07-23,7262.0,0.0
1907,2026-07-23,24222.0,1.0
1909,2026-07-23,10189.0,23.0
2002,2026-07-23,44402.0,0.0
2006,2026-07-23,1058.0,1.0
2007,2026-07-23,5.0,0.0
2008,2026-07-23,122.0,0.0
