stock_id,date,open,high,low,close,volume,wave_label_realtime,label_basis_last_confirmed_date,mv_short,mv_mid,mv_long,mv_short_direction,mv_mid_direction,mv_long_direction,mv_bias,is_volume_burst,mv_mid_is_core_veto_line,mv_mid_veto_active,price_volume_divergence,wave3_tidal_burst
2383,2022-03-04,272.0,275.0,270.0,273.0,823767,2,2022-03-03,1956209.0,1673171.0,1910910.65,-1,-1,-1,0.023705111487028585,False,True,True,False,False
2383,2022-03-07,267.0,267.5,257.5,262.0,2239630,2,2022-03-07,1676558.8,1797361.4615384615,1908614.45,-1,1,-1,-0.1215833035320465,False,True,False,False,False
2383,2022-03-08,250.0,263.5,249.5,254.0,1826209,2,2022-03-07,1479300.6,1821900.5384615385,1910993.3,-1,1,1,-0.22589964077843705,False,True,False,False,False
2383,2022-03-09,257.0,258.0,252.0,254.0,1333352,2,2022-03-07,1485288.4,1843255.3846153845,1780279.3,1,1,-1,-0.16569922483511446,False,True,False,False,False
2383,2022-03-10,262.0,262.0,258.0,260.0,988807,1,2022-03-10,1442353.0,1804849.076923077,1733615.95,-1,-1,-1,-0.1680089237757647,False,True,True,False,False
2383,2022-03-11,260.0,261.0,251.0,253.0,1480487,1,2022-03-10,1573697.0,1863553.1538461538,1651677.35,1,1,-1,-0.04721282277074279,False,True,False,False,False
2383,2022-03-14,253.0,256.5,248.0,252.5,1663284,2,2022-03-14,1458427.8,1899485.6153846155,1612245.65,-1,1,-1,-0.09540596372519283,False,True,False,False,False
2383,2022-03-15,253.5,254.5,248.5,249.0,1267800,2,2022-03-14,1346746.0,1796470.6923076923,1627539.6,-1,-1,1,-0.172526431922148,False,True,True,False,False
2383,2022-03-16,252.0,252.5,241.0,244.5,1893296,2,2022-03-14,1458734.8,1728762.3076923077,1690946.7,1,-1,1,-0.13732656387099595,False,True,True,False,False
2383,2022-03-17,251.5,258.5,248.5,258.5,2127631,1,2022-03-17,1686499.6,1612589.2307692308,1721968.2,1,-1,1,-0.02059770906338443,False,True,True,False,False
2383,2022-03-18,255.0,258.0,254.5,255.0,1136351,1,2022-03-17,1617672.4,1483654.6923076923,1725998.8,-1,-1,1,-0.06276157318301734,False,True,True,False,False
2383,2022-03-21,258.5,259.0,255.0,256.0,194495,1,2022-03-17,1323914.6,1398353.3076923077,1661319.1,-1,-1,-1,-0.20309433630179774,False,True,True,False,False
2383,2022-03-22,263.0,263.0,257.0,257.5,263592,1,2022-03-17,1123073.0,1326053.923076923,1638632.0,-1,-1,-1,-0.3146276894385073,False,True,True,False,False
2383,2022-03-23,260.5,262.0,257.5,258.5,522448,1,2022-03-17,848903.4,1302875.5384615385,1604946.3,-1,-1,-1,-0.47107052740643096,False,True,True,False,False
2383,2022-03-24,258.5,258.5,254.0,257.0,730490,1,2022-03-17,569475.2,1186787.8461538462,1511121.1,-1,-1,-1,-0.6231439028943478,False,True,True,False,False
2383,2022-03-25,259.5,260.0,257.0,257.0,520882,1,2022-03-17,446381.4,1086378.076923077,1398489.95,-1,-1,-1,-0.680811864254012,False,True,True,False,False
2383,2022-03-28,257.0,261.5,255.0,261.0,739679,1,2022-03-17,555418.2,1040710.9230769231,1253579.85,1,-1,-1,-0.5569343269198209,False,True,True,False,False
2383,2022-03-29,261.5,263.0,258.5,259.0,773137,1,2022-03-17,657327.2,1024120.9230769231,1151611.7,1,-1,-1,-0.42921107869953046,False,True,True,False,False
2383,2022-03-30,261.5,265.5,261.0,261.0,1590082,1,2022-03-17,870854.0,1032551.3076923077,1165945.15,1,1,1,-0.2530917942409211,False,True,False,False,False
2383,2022-03-31,261.0,262.0,256.5,258.0,1171313,1,2022-03-17,959018.6,994707.3846153846,1164336.6,1,-1,-1,-0.17633904147649404,False,True,True,False,False
2383,2022-04-01,258.0,261.0,255.0,261.0,713412,1,2022-03-17,997524.6,952062.1538461539,1158818.85,1,-1,-1,-0.13918849352510976,False,True,True,False,False
2383,2022-04-06,257.0,259.5,255.0,257.0,647598,1,2022-03-17,979108.4,856239.2307692308,1079217.25,-1,-1,-1,-0.09276060959922572,False,True,True,False,False
2383,2022-04-07,255.5,258.0,251.0,255.0,1220880,2,2022-04-07,1068657.0,786489.1538461539,1048950.8,1,-1,-1,0.018786581792015422,False,True,True,False,False
2383,2022-04-08,260.0,263.5,255.5,257.0,982107,2,2022-04-07,947062.0,774624.2307692308,1031388.55,-1,-1,-1,-0.08176021539118317,False,True,True,False,False
2383,2022-04-11,255.5,256.0,234.5,240.0,2803505,2,2022-04-07,1273500.4,975317.3076923077,1122123.45,1,1,1,0.1349022248844367,False,True,False,False,False
2383,2022-04-12,233.5,244.5,233.0,237.0,2507318,2,2022-04-07,1632281.6,1147911.6153846155,1173465.0,1,1,1,0.3909929993651282,True,True,False,False,False
2383,2022-04-13,232.0,239.5,232.0,238.5,1175883,2,2022-04-07,1737938.6,1198175.8461538462,1149094.95,1,1,-1,0.512441247783745,True,True,False,False,False
2383,2022-04-14,238.5,242.0,238.0,240.5,687529,2,2022-04-07,1631268.4,1194871.1538461538,1120081.4,-1,-1,-1,0.45638379496347325,True,True,True,False,False
2383,2022-04-15,237.0,237.0,234.0,235.5,966075,2,2022-04-07,1628062.0,1229116.7692307692,1073720.35,-1,1,-1,0.5162812179167506,True,True,False,False,False
2383,2022-04-18,232.0,236.5,230.0,234.5,1014890,2,2022-04-07,1270339.0,1250286.8461538462,1018083.3,-1,1,-1,0.2477751083825852,True,True,False,False,False
2383,2022-04-19,239.5,240.5,234.0,236.0,1251895,2,2022-04-07,1019254.4,1287114.3846153845,1023860.5,-1,1,1,-0.004498757399079234,False,True,False,False,False
2383,2022-04-20,238.0,242.5,238.0,242.5,735355,1,2022-04-20,931148.8,1221366.1538461538,1050903.5,-1,-1,1,-0.11395404049943691,False,True,True,False,False
2383,2022-04-21,241.5,246.0,240.5,245.0,958777,1,2022-04-20,985398.4,1205017.2307692308,1085662.75,1,-1,1,-0.09235312715666077,False,True,True,False,False
2383,2022-04-22,240.5,245.0,240.5,243.5,677420,1,2022-04-20,927667.4,1202248.6153846155,1093411.35,-1,-1,1,-0.15158425966586142,False,True,True,False,False
2383,2022-04-25,238.0,240.5,235.0,235.5,1002541,1,2022-04-20,925197.6,1229551.923076923,1107013.9,-1,1,1,-0.1642403044803683,False,True,False,False,False
2383,2022-04-26,236.5,239.0,233.0,235.5,973222,2,2022-04-26,869463.0,1210501.3076923077,1129630.9,-1,-1,1,-0.23031230820615822,False,True,True,False,False
2383,2022-04-27,231.0,235.0,224.0,233.0,1378875,2,2022-04-26,998167.0,1241021.923076923,1161590.7,1,1,1,-0.14068957335832666,False,True,False,False,False
2383,2022-04-28,238.0,238.5,214.0,216.0,4507305,2,2022-04-26,1707872.6,1372083.4615384615,1348299.1,1,1,1,0.2666867462864879,True,True,False,False,False
2383,2022-04-29,219.0,224.0,218.5,222.0,2095306,2,2022-04-26,1991449.8,1340390.2307692308,1373560.3,1,-1,1,0.4498451942735968,True,True,True,False,False
2383,2022-05-03,219.0,222.0,214.0,215.0,1496275,2,2022-04-26,2090196.6,1365035.7692307692,1389808.4,1,1,1,0.5039458676462167,True,True,False,False,False
2383,2022-05-04,214.5,224.5,214.0,222.0,2752233,2,2022-04-26,2445998.8,1523859.1538461538,1491749.45,1,1,1,0.6396847339209677,True,True,False,False,False
2383,2022-05-05,224.0,227.5,221.0,222.0,2241672,1,2022-05-05,2618558.2,1621982.0,1571453.15,1,1,1,0.6663291552789852,True,True,False,False,False
2383,2022-05-06,215.0,217.5,213.5,215.0,1651428,2,2022-05-06,2047382.8,1670946.4615384615,1592980.55,-1,1,1,0.2852528550960651,True,True,False,False,False
2383,2022-05-09,213.5,213.5,208.5,210.5,2270923,2,2022-05-06,2082506.2,1749333.2307692308,1657421.35,1,1,1,0.2564736178884144,True,True,False,False,False
2383,2022-05-10,205.5,215.0,205.0,214.0,2313032,2,2022-05-06,2245857.6,1870693.0,1632897.7,1,1,-1,0.3753816910881804,True,True,False,False,False
2383,2022-05-11,210.5,216.0,210.0,210.5,1717318,1,2022-05-11,2038874.6,1929042.3076923077,1593397.7,-1,1,-1,0.27957671835474596,True,True,False,False,False
2383,2022-05-12,212.5,217.5,211.0,213.0,1917961,1,2022-05-11,1974132.4,2024468.5384615385,1630501.6,-1,1,1,0.21075158711895758,True,True,False,False,False
2383,2022-05-13,216.5,227.0,215.0,224.0,3441164,1,2022-05-11,2332079.6,2212054.923076923,1768183.35,1,1,1,0.3189127699907366,True,True,False,False,False
2383,2022-05-16,228.5,230.5,216.5,219.5,3275308,1,2022-05-11,2532956.6,2389138.4615384615,1883645.0,1,1,1,0.34471017628056244,True,True,False,False,False
2383,2022-05-17,220.0,223.0,218.5,221.0,1095693,2,2022-05-17,2289488.8,2367355.230769231,1887685.15,-1,-1,1,0.21285522641315469,True,True,True,False,False
2383,2022-05-18,221.5,230.0,221.5,227.5,3255831,3,2022-05-18,2597191.4,2271088.0,1987881.95,1,-1,1,0.30651188819336084,True,True,True,False,False
2383,2022-05-19,222.5,227.0,220.5,226.0,2248493,3,2022-05-18,2663297.8,2282871.6153846155,2063538.85,1,1,1,0.2906458242838508,True,True,False,False,True
2383,2022-05-20,226.0,229.0,224.5,228.0,1122673,3,2022-05-18,2199599.6,2254133.0,2071733.65,-1,-1,1,0.061719299679280804,False,True,True,False,False
2383,2022-05-23,231.5,231.5,225.0,226.0,1760525,3,2022-05-18,1896643.0,2177847.769230769,2125888.9,-1,-1,1,-0.10783531538266178,False,True,True,False,False
2383,2022-05-24,227.5,230.0,223.0,225.0,1981071,3,2022-05-18,2073718.6,2157801.5384615385,2174815.4,1,-1,1,-0.04648523272366001,False,True,True,False,False
2383,2022-05-25,225.0,228.0,223.5,226.0,948112,3,2022-05-18,1612174.8,2103700.3076923075,2173559.9,-1,-1,-1,-0.2582791024070695,False,True,True,False,False
2383,2022-05-26,228.0,238.0,228.0,233.0,3260744,3,2022-05-18,1814625.0,2179840.3846153845,2267653.35,1,1,1,-0.1997784846612468,False,True,False,False,False
2383,2022-05-27,236.0,242.0,230.5,232.5,3336147,3,2022-05-18,2257319.8,2258541.5384615385,2209095.45,1,1,-1,0.021829907802308757,False,True,False,False,False
2383,2022-05-30,235.5,235.5,228.0,233.0,1643085,unknown,2022-05-30,2233831.8,2252831.3076923075,2186484.4,-1,-1,-1,0.02165457937865911,False,True,True,False,False
2383,2022-05-31,233.0,235.0,231.0,232.5,617882,unknown,2022-05-30,1961194.0,2152825.230769231,2142564.75,-1,-1,-1,-0.08465123399421182,False,True,True,False,False
2383,2022-06-01,233.0,234.0,228.5,230.0,791238,unknown,2022-05-30,1929819.2,1948984.7692307692,2044515.0,-1,-1,-1,-0.0560992704871327,False,True,True,False,False
2383,2022-06-02,229.5,230.0,224.5,225.0,643058,unknown,2022-05-30,1406282.0,1746504.0,1964584.3,-1,-1,-1,-0.28418342750677583,False,True,True,False,False
2383,2022-06-06,225.5,231.5,224.5,230.0,660799,unknown,2022-05-30,871212.4,1713050.6153846155,1915052.85,-1,-1,-1,-0.5450713540359996,False,True,True,False,False
2383,2022-06-07,230.0,233.5,230.0,232.5,539156,unknown,2022-05-30,650426.6,1504075.6153846155,1828464.5,-1,-1,-1,-0.6442771516756273,False,True,True,False,False
2383,2022-06-08,232.5,243.5,232.5,239.5,2577138,2,2022-06-08,1042277.8,1529356.0,1841669.8,1,1,1,-0.43405826603661524,False,True,False,False,False
2383,2022-06-09,240.5,242.0,238.0,240.5,882288,2,2022-06-08,1060487.8,1510864.8461538462,1799918.3,1,-1,-1,-0.41081336858456297,False,True,True,False,False
2383,2022-06-10,237.0,240.5,236.5,239.0,921655,2,2022-06-08,1116207.2,1446336.3846153845,1750103.0,1,-1,-1,-0.36220485308578987,False,True,True,False,False
2383,2022-06-13,234.0,235.0,233.0,233.0,610666,2,2022-06-08,1106180.6,1340920.6153846155,1608578.1,-1,-1,-1,-0.31232397108974685,False,True,True,False,False
2383,2022-06-14,231.0,233.0,225.5,228.0,1762732,2,2022-06-14,1350895.8,1403583.6923076923,1532949.3,1,1,-1,-0.11876028776685565,False,True,False,False,False
2383,2022-06-15,230.0,231.0,223.0,224.0,1506254,2,2022-06-14,1136719.0,1268622.923076923,1553477.35,-1,-1,1,-0.2682744939924615,False,True,True,False,False
2383,2022-06-16,229.0,229.0,211.5,212.5,2242105,2,2022-06-14,1408682.4,1184465.8461538462,1502791.05,1,-1,-1,-0.06262257816880146,False,True,True,False,False
2383,2022-06-17,208.0,211.0,202.5,206.0,2126631,2,2022-06-14,1649677.6,1221661.6923076923,1496697.95,1,1,-1,0.10221143818630885,False,True,False,False,False
2383,2022-06-20,206.5,208.0,195.5,195.5,2019887,2,2022-06-14,1931521.8,1329508.2307692308,1541558.65,1,1,1,0.2529667943545322,True,True,False,False,False
2383,2022-06-21,198.0,199.0,193.0,197.0,1953136,2,2022-06-14,1969602.6,1418885.0,1551189.2,1,1,1,0.2697371797070274,True,True,False,False,False
2383,2022-06-22,198.0,198.5,180.5,184.0,3883847,2,2022-06-14,2445121.2,1668176.4615384615,1646328.0,1,1,1,0.4851968744988848,True,True,False,False,False
2383,2022-06-23,188.0,189.5,182.5,185.5,2067370,2,2022-06-14,2410174.2,1776374.2307692308,1702290.9,-1,1,1,0.4158415579851835,True,True,False,False,False
2383,2022-06-24,187.0,192.5,184.0,187.0,1920123,1,2022-06-24,2368872.6,1882602.4615384615,1635259.85,-1,1,-1,0.4486215141893197,True,True,False,False,False
2383,2022-06-27,190.0,200.0,190.0,194.5,1773859,1,2022-06-24,2319667.0,1820811.7692307692,1557145.45,-1,-1,-1,0.4896919231276693,True,True,True,False,False
2383,2022-06-28,195.0,195.5,185.0,191.5,1502549,2,2022-06-28,2229549.6,1868524.1538461538,1550118.65,-1,1,-1,0.4383089965403617,True,True,False,False,False
2383,2022-06-29,186.5,190.5,186.5,189.0,502539,2,2022-06-28,1553288.0,1836284.4615384615,1544351.5,-1,-1,-1,0.005786571256608308,False,True,True,False,False
2383,2022-06-30,189.0,190.0,177.0,178.5,2891325,2,2022-06-28,1718079.0,2011719.7692307692,1649355.85,1,1,1,0.041666660351069806,False,True,False,False,False
