stock_id,date,open,high,low,close,volume
3037,2017-06-07,17.95,18.0,17.55,17.55,8364111
3037,2017-06-08,17.6,17.7,17.4,17.45,5435306
3037,2017-06-09,17.6,17.75,17.4,17.5,4661879
3037,2017-06-12,17.35,17.45,17.05,17.05,6030917
3037,2017-06-13,17.15,17.35,17.0,17.3,4251841
3037,2017-06-14,17.4,17.5,16.9,17.5,7874336
3037,2017-06-15,17.55,17.6,17.35,17.6,5250816
3037,2017-06-16,17.7,18.25,17.65,17.75,21257926
3037,2017-06-19,17.95,18.0,17.6,17.6,6067703
3037,2017-06-20,17.65,17.8,17.45,17.45,3646997
3037,2017-06-21,17.45,18.0,17.4,17.95,8090916
3037,2017-06-22,18.5,18.7,18.3,18.3,31496123
3037,2017-06-23,18.3,18.4,18.0,18.0,7375397
3037,2017-06-26,18.0,18.2,17.95,18.15,6113601
3037,2017-06-27,18.2,18.3,17.85,18.05,7085837
3037,2017-06-28,17.85,18.15,17.75,17.8,7749400
3037,2017-06-29,18.0,18.05,17.6,17.6,4735467
3037,2017-06-30,17.45,17.65,17.4,17.65,4477365
3037,2017-07-03,17.8,17.85,17.65,17.8,2891126
3037,2017-07-04,17.95,18.1,17.8,17.8,5394128
3037,2017-07-05,17.85,17.9,17.5,17.65,3498704
3037,2017-07-06,17.65,17.75,17.4,17.5,4140269
3037,2017-07-07,17.45,17.6,17.35,17.35,4149577
3037,2017-07-10,17.5,17.65,17.3,17.35,4518399
3037,2017-07-11,17.4,17.6,17.3,17.6,3708093
3037,2017-07-12,17.65,17.95,17.6,17.85,6244813
3037,2017-07-13,17.95,18.05,17.8,17.85,5509133
3037,2017-07-14,18.0,18.65,17.85,18.2,19519440
3037,2017-07-17,18.35,18.7,18.3,18.35,15916861
3037,2017-07-18,18.35,18.35,18.0,18.1,7914586
3037,2017-07-19,18.0,18.15,17.9,17.95,5072310
3037,2017-07-20,18.15,18.15,17.85,17.9,4241599
3037,2017-07-21,17.95,18.15,17.85,17.9,2896321
3037,2017-07-24,17.95,18.4,17.85,18.05,12615801
3037,2017-07-25,18.0,18.2,17.9,18.15,5867400
3037,2017-07-26,18.25,18.4,17.9,17.9,7724658
3037,2017-07-27,18.0,18.8,17.95,18.8,32288923
3037,2017-07-28,18.75,19.6,18.5,19.55,32944054
3037,2017-07-31,19.6,19.9,19.0,19.65,27973787
3037,2017-08-01,19.6,19.75,19.35,19.5,11503268
3037,2017-08-02,19.35,19.8,19.2,19.2,24120345
3037,2017-08-03,19.3,19.55,19.2,19.2,8853493
3037,2017-08-04,19.2,19.35,18.95,19.1,9441520
3037,2017-08-07,19.15,19.45,19.05,19.3,12336184
3037,2017-08-08,19.05,19.15,18.5,18.6,12314494
3037,2017-08-09,18.45,18.5,17.65,17.75,17556116
3037,2017-08-10,17.85,18.0,17.35,17.4,8990706
3037,2017-08-11,17.35,17.8,17.35,17.65,6946804
3037,2017-08-14,17.7,17.7,16.8,16.9,14076677
3037,2017-08-15,17.1,17.2,16.5,16.6,11557888
3037,2017-08-16,16.6,16.85,16.5,16.6,9304445
3037,2017-08-17,16.7,17.0,16.55,16.8,8293866
3037,2017-08-18,16.65,16.65,16.2,16.2,11168207
3037,2017-08-21,16.3,16.85,16.15,16.85,7893417
3037,2017-08-22,16.85,17.15,16.8,16.8,7241677
3037,2017-08-23,16.95,16.95,16.55,16.55,3718196
3037,2017-08-24,16.7,16.9,16.7,16.9,4768582
3037,2017-08-25,17.0,17.55,16.9,17.45,13975757
3037,2017-08-28,17.3,17.45,16.95,17.0,9015676
3037,2017-08-29,17.0,17.4,17.0,17.2,6231465
3037,2017-08-30,17.3,17.45,17.2,17.35,5543573
3037,2017-08-31,17.5,17.5,17.0,17.25,5988556
3037,2017-09-01,17.15,17.35,17.1,17.15,4285416
3037,2017-09-04,17.1,17.5,17.0,17.25,5069355
3037,2017-09-05,17.4,17.45,17.1,17.2,4959728
3037,2017-09-06,17.25,17.4,17.0,17.05,5572516
3037,2017-09-07,17.2,17.4,17.05,17.2,6709101
3037,2017-09-08,17.3,17.35,17.05,17.1,3883491
3037,2017-09-11,17.3,17.45,17.2,17.25,4776833
3037,2017-09-12,17.4,17.45,17.2,17.2,3795855
3037,2017-09-13,17.3,17.9,17.2,17.55,13988211
3037,2017-09-14,17.6,17.6,17.2,17.35,5164276
3037,2017-09-15,17.5,17.7,17.4,17.65,9096746
3037,2017-09-18,17.75,18.1,17.6,17.9,13030055
3037,2017-09-19,18.1,18.15,17.5,17.55,7291418
3037,2017-09-20,17.65,17.85,17.3,17.35,6715620
3037,2017-09-21,17.4,17.7,17.25,17.45,3575018
3037,2017-09-22,17.7,18.3,17.65,17.65,17022575
3037,2017-09-25,17.7,17.7,16.5,16.75,12878164
3037,2017-09-26,16.7,16.9,16.2,16.2,8873018
3037,2017-09-27,16.3,16.5,16.25,16.25,5617531
3037,2017-09-28,16.4,16.4,16.1,16.2,3877155
3037,2017-09-29,16.3,16.35,16.05,16.35,4051423
3037,2017-09-30,16.35,16.7,16.35,16.5,2500109
3037,2017-10-02,16.65,16.7,16.5,16.6,2671715
3037,2017-10-03,16.6,16.65,16.4,16.4,1936030
3037,2017-10-05,16.5,16.85,16.45,16.7,3992540
3037,2017-10-06,16.8,16.8,16.35,16.35,4561028
3037,2017-10-11,16.45,16.65,16.35,16.55,4356785
3037,2017-10-12,16.8,16.9,16.65,16.65,3656240
3037,2017-10-13,16.65,16.85,16.6,16.7,4220296
3037,2017-10-16,16.85,16.95,16.7,16.85,3096410
3037,2017-10-17,16.85,16.9,16.7,16.75,2694911
3037,2017-10-18,16.8,16.85,16.4,16.4,4209322
3037,2017-10-19,16.55,16.6,16.3,16.35,3328336
3037,2017-10-20,16.3,16.5,16.25,16.5,3180747
3037,2017-10-23,16.6,16.75,16.45,16.45,2850114
3037,2017-10-24,16.55,16.95,16.45,16.95,7449911
3037,2017-10-25,17.25,17.35,17.05,17.1,9440694
3037,2017-10-26,17.15,17.2,16.9,16.95,3564285
3037,2017-10-27,17.15,17.25,16.75,16.8,4321122
3037,2017-10-30,17.1,17.15,16.65,16.75,3192665
3037,2017-10-31,17.0,17.3,16.75,17.2,5766291
3037,2017-11-01,17.2,17.5,17.1,17.4,10718153
3037,2017-11-02,17.55,17.75,17.3,17.3,8067167
3037,2017-11-03,17.5,18.4,17.4,18.05,30679437
3037,2017-11-06,18.25,18.8,18.2,18.25,23350316
3037,2017-11-07,18.15,18.55,17.8,18.5,18551727
3037,2017-11-08,18.6,19.4,18.55,18.75,49846471
3037,2017-11-09,18.75,18.9,17.6,17.95,23296287
3037,2017-11-10,18.1,18.6,18.0,18.4,12743374
3037,2017-11-13,17.8,17.9,17.4,17.45,16271588
3037,2017-11-14,17.45,17.65,17.05,17.05,7319889
3037,2017-11-15,16.7,16.7,16.5,16.5,11116623
3037,2017-11-16,16.45,16.75,16.25,16.65,11294340
3037,2017-11-17,16.75,16.8,16.25,16.4,13028410
3037,2017-11-20,16.35,16.35,16.0,16.1,7458153
3037,2017-11-21,16.15,16.5,16.1,16.15,12859285
3037,2017-11-22,16.2,16.25,15.7,15.75,13247895
3037,2017-11-23,15.75,15.85,15.3,15.45,13001031
3037,2017-11-24,15.55,15.95,15.55,15.75,8380457
3037,2017-11-27,15.8,15.85,15.3,15.3,9483530
3037,2017-11-28,15.35,15.6,15.3,15.6,4931622
3037,2017-11-29,15.6,15.7,15.4,15.45,5896830
3037,2017-11-30,15.45,15.85,15.4,15.6,12696317
3037,2017-12-01,15.65,15.75,15.1,15.2,9062889
3037,2017-12-04,15.15,15.6,15.15,15.4,8875787
3037,2017-12-05,15.3,15.35,15.05,15.05,5722835
3037,2017-12-06,15.1,15.85,15.1,15.8,19705645
3037,2017-12-07,15.85,16.7,15.35,16.45,46993215
3037,2017-12-08,16.3,16.5,15.6,15.65,22346138
3037,2017-12-11,15.65,15.8,15.35,15.65,10433900
3037,2017-12-12,15.8,17.2,15.8,17.1,61501306
3037,2017-12-13,17.85,18.4,17.7,17.8,82851514
3037,2017-12-14,17.8,18.2,17.5,17.9,38289969
3037,2017-12-15,17.85,17.85,17.1,17.55,32108675
3037,2017-12-18,17.75,18.25,17.45,17.45,41719312
3037,2017-12-19,17.55,17.65,16.9,17.05,22914780
3037,2017-12-20,17.35,17.95,17.25,17.65,31392039
3037,2017-12-21,17.4,17.55,17.25,17.3,13380003
3037,2017-12-22,17.5,17.8,17.3,17.35,15818210
3037,2017-12-25,17.4,17.85,17.25,17.25,18524640
3037,2017-12-26,17.35,17.5,16.7,16.75,16706442
3037,2017-12-27,16.95,17.25,16.75,16.75,13316622
3037,2017-12-28,16.8,17.05,16.45,16.55,21192030
3037,2017-12-29,16.6,16.7,16.1,16.3,13307039
3037,2018-01-02,16.4,16.8,16.25,16.8,12617986
3037,2018-01-03,16.9,17.1,16.6,16.6,16706232
3037,2018-01-04,16.65,16.85,16.5,16.65,10458316
3037,2018-01-05,16.75,17.15,16.65,16.9,16038233
3037,2018-01-08,16.95,17.2,16.7,17.15,28166089
3037,2018-01-09,17.25,17.8,17.25,17.3,51816309
3037,2018-01-10,17.25,17.35,16.8,16.85,17776044
3037,2018-01-11,16.85,17.3,16.85,17.3,13041895
3037,2018-01-12,17.4,17.7,17.35,17.5,24282452
3037,2018-01-15,17.55,17.7,17.1,17.1,20121638
3037,2018-01-16,17.25,17.55,17.15,17.55,14463124
3037,2018-01-17,17.7,18.35,17.55,17.9,58307852
3037,2018-01-18,18.1,18.15,17.7,17.85,29845974
3037,2018-01-19,18.0,18.2,17.8,17.85,34752098
3037,2018-01-22,17.85,17.85,17.15,17.15,23293318
3037,2018-01-23,17.25,17.75,17.2,17.7,25373299
3037,2018-01-24,17.65,17.75,17.2,17.3,24044279
